timestamp,ticker,order_size,avg_price,slippage,side
2025-04-03 15:12:00+00:00,SOUN,500,8.17,0.005,buy
2025-04-03 15:12:00+00:00,SOUN,1000,8.17,0.005,buy
2025-04-03 15:12:00+00:00,SOUN,2000,8.1734,0.00842,buy
2025-04-03 15:12:00+00:00,SOUN,5000,8.1774,0.012368,buy
2025-04-03 15:13:00+00:00,SOUN,10,8.17,0.005,sell
2025-04-03 15:13:00+00:00,SOUN,50,8.17,0.005,sell
2025-04-03 15:13:00+00:00,SOUN,100,8.17,0.005,sell
2025-04-03 15:13:00+00:00,SOUN,200,8.17,0.005,sell
2025-04-03 15:13:00+00:00,SOUN,500,8.17,0.005,sell
2025-04-03 15:13:00+00:00,SOUN,1000,8.17,0.005,sell
2025-04-03 15:13:00+00:00,SOUN,2000,8.165,0.01,sell
2025-04-03 15:13:00+00:00,SOUN,5000,8.162,0.013,sell
2025-04-03 15:13:00+00:00,SOUN,10,8.18,0.005,buy
2025-04-03 15:13:00+00:00,SOUN,50,8.18,0.005,buy
2025-04-03 15:13:00+00:00,SOUN,100,8.18,0.005,buy
2025-04-03 15:13:00+00:00,SOUN,200,8.18,0.005,buy
2025-04-03 15:13:00+00:00,SOUN,500,8.18,0.005,buy
2025-04-03 15:13:00+00:00,SOUN,1000,8.1841,0.00913,buy
2025-04-03 15:13:00+00:00,SOUN,2000,8.1871,0.012065,buy
2025-04-03 15:13:00+00:00,SOUN,5000,8.1888,0.013826,buy
2025-04-03 15:14:00+00:00,SOUN,10,8.14,0.005,sell
2025-04-03 15:14:00+00:00,SOUN,50,8.14,0.005,sell
2025-04-03 15:14:00+00:00,SOUN,100,8.14,0.005,sell
2025-04-03 15:14:00+00:00,SOUN,200,8.14,0.005,sell
2025-04-03 15:14:00+00:00,SOUN,500,8.14,0.005,sell
2025-04-03 15:14:00+00:00,SOUN,1000,8.14,0.005,sell
2025-04-03 15:14:00+00:00,SOUN,2000,8.14,0.005,sell
2025-04-03 15:14:00+00:00,SOUN,5000,8.1382,0.0068,sell
2025-04-03 15:14:00+00:00,SOUN,10,8.15,0.005,buy
2025-04-03 15:14:00+00:00,SOUN,50,8.15,0.005,buy
